Country Name;Country Code;Series Name;Series Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afghanistan;AFG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;14.3624414596815;0.426354792856571;12.7522870825788;5.60074466131904;2.72454336495028;1.45131465458005;2.2603142045464;2.66529204636834;1.84008854330573;2.90122896413847
Afghanistan;AFG;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;3.47945;3.46201;2.6042;3.45446;3.69522;3.2558;4.22836;4.05887;..;..
Afghanistan;AFG;GDP (current US$);NY.GDP.MKTP.CD;15856574731.4411;17804292964.1045;20001598505.7042;20561069558.2152;20484885119.7348;19907111418.9938;19362642266.6484;20191760000.0587;19484384936.6312;19101353832.7371
Afghanistan;AFG;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Afghanistan;AFG;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;81.68142;82.62509;84.92229;81.148;80.69691;80.40733;..;..;..;..
Afghanistan;AFG;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Afghanistan;AFG;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Afghanistan;AFG;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;64.6766967773438;..;..
Albania;ALB;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3.70689230100685;2.54532184477017;1.41752599216282;1.00198715014967;1.77448678495496;2.21875223166761;3.31480475341897;3.80219748796804;4.0713012947902;2.21406315283737
Albania;ALB;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;..;..;3.5393;..;3.43797;3.96209;3.61025;2.46866;..
Albania;ALB;GDP (current US$);NY.GDP.MKTP.CD;11926928505.5231;12890765324.2256;12319830252.4768;12776217194.7928;13228144008.3428;11386846319.1589;11861200797.4707;13019693450.8816;15147020535.3869;15278077446.8643
Albania;ALB;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;1.45834;12.89966;..;..;..;..;..;..;..
Albania;ALB;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;91.41316;..;91.94542;91.63761;91.70054;..;..
Albania;ALB;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;12.33073;..;..;..;..;..;..;..
Albania;ALB;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;0.08962;..;..;..;..;..;..;..
Albania;ALB;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;77.9699020385742;74.5169982910156;73.0643005371094;73.4274978637695;74.3812026977539;73.2714004516602;74.1250991821289;73.2248992919922;62.1244010925293;62.7015991210938
Algeria;DZA;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3.59999999969583;2.90000000095189;3.39999999820539;2.80000000025294;3.80000000077901;3.70000000057087;3.19999999983371;1.29999999902873;1.40000000081808;0.799999999999997
Algeria;DZA;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;..;..;..;..;..;..;..;..;..
Algeria;DZA;GDP (current US$);NY.GDP.MKTP.CD;161207754147.286;200019468616.453;209060307470.078;209754763860.68;213808808746.696;165979418301.861;160033844070.572;167389364980.671;173757952824.25;169988236398.126
Algeria;DZA;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Algeria;DZA;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;..;..;..;..;..;..;..
Algeria;DZA;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Algeria;DZA;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Algeria;DZA;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;0.442477876106182;0.293685756240819;-4.39238653001463;-2.75650842266462;0.944881889763778;1.40405616224648;-2.76923076923077;-5.85443037974683;2.18487394957982;..
American Samoa;ASM;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;GDP (current US$);NY.GDP.MKTP.CD;576000000;574000000;644000000;641000000;642000000;661000000;652000000;602000000;636000000;..
American Samoa;ASM;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Andorra;AND;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-1.97495799965346;-0.00806975341139093;-4.97444371853503;-3.54759651549344;2.50446552114518;1.43414039522716;3.70967806978986;0.346071889630295;1.58876549046354;1.84923825726078
Andorra;AND;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;3.05742;3.14508;..;2.43807;2.99781;3.25368;3.2567;3.19505;3.22691;..
Andorra;AND;GDP (current US$);NY.GDP.MKTP.CD;3449966856.68832;3629203786.19154;3188808942.56713;3193704343.20627;3271808157.30039;2789870187.50693;2896679211.86628;3000180750.11297;3218316013.22626;3154057987.23833
Andorra;AND;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Andorra;AND;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;98.3168;98.8241;..;99.41766;98.90918;98.66561;99.18147;99.27022;99.45938;..
Andorra;AND;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;10.97858;10.91377;10.86901;..;..;..
Andorra;AND;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Andorra;AND;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Angola;AGO;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4.85919754128949;3.47198137570336;8.54214733662195;4.95459047039728;4.82262555122684;0.943575613388759;-2.58009724323077;-0.147207419438828;-2.00357675383141;-0.869393785304467
Angola;AGO;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;3.42132;..;..;..;..;..;..;..;..;..
Angola;AGO;GDP (current US$);NY.GDP.MKTP.CD;83799496611.2004;111789686464.441;128052853643.106;136709862831.194;145712200312.505;116193649124.151;101123851090.455;122123822333.591;101353230784.594;94635415869.9851
Angola;AGO;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;2.6339;..;..;..;..;..
Angola;AGO;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;89.1063003540039;..;..;..;..;..;..;..;..
Antigua and Barbuda;ATG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-7.57435721754354;-1.9586126283434;3.37286620031864;-0.600876396735046;3.79572761294251;3.82529309880827;5.49778845610642;3.14554360323187;7.38919716232351;4.65040224998366
Antigua and Barbuda;ATG;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;..;..;..;..;..;..;..;..;..
Antigua and Barbuda;ATG;GDP (current US$);NY.GDP.MKTP.CD;1148700000;1137637037.03704;1199948148.14815;1181448148.14815;1249733333.33333;1336692592.59259;1436585185.18519;1467977777.77778;1610574074.07407;1727759259.25926
Antigua and Barbuda;ATG;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Antigua and Barbuda;ATG;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;..;..;..;..;..;..;..
Antigua and Barbuda;ATG;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Antigua and Barbuda;ATG;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Antigua and Barbuda;ATG;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Argentina;ARG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;10.1253981561002;6.00395169280579;-1.02642045443208;2.40532378079436;-2.51261532081396;2.73115982828946;-2.08032784377811;2.66859037935303;-2.48179244509274;-2.16295212091666
Argentina;ARG;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;5.01971;5.29063;5.34583;5.43661;5.36144;5.77611;5.54549;5.46223;..;..
Argentina;ARG;GDP (current US$);NY.GDP.MKTP.CD;423627422092.49;530163281574.658;545982375701.128;552025140252.246;526319673731.638;594749285413.212;557531376217.967;642695864756.35;519871519807.795;449663446954.073
Argentina;ARG;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Argentina;ARG;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;95.7805;..;95.07554;94.14614;93.02701;89.22708;89.19338;89.09376;..;..
Argentina;ARG;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Argentina;ARG;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Argentina;ARG;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;83.8422012329102;83.6411972045898;82.4685974121094;82.6486968994141;82.2104034423828;..;..;79.0328979492188;79.5768966674805;80.4072036743164
