Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.83227780370231,1.41411798021916,11.2297148388595,5.35740324754602,13.8263195390595,3.92498382284523,21.390528405312,14.3624414596815,0.426354792856571,12.7522870825788,5.60074466131904,2.72454336495028,1.45131465458005,2.2603142045464,2.66529204636834,1.84008854330573,2.90122896413847
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.4411,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,19362642266.6484,20191760000.0587,19484384936.6312,19101353832.7371
Afghanistan,AFG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.6766967773438,..,..
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3049464,3282558,3591020,3930041,4248904,4520584,4672419,4760554,4823415,4906827,5037884,5265763,5554075,5875424,6193483,6485734,6633635,6747873,6854807,6988855,7173385,7499332,7891605,8307325,8741565,9176450,9566712,9947922,10334090,10699797
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.4603996276855,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49449992179871,..,..,..,1.69190001487732,..,..,..,..,11.1836004257202,..,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.7456352920068,2.9485968015687,1.104938261827,-1.25159664469855,1.78064395977269,5.63724317825185,-0.787842655012938,-1.42003965482247,9.83654897047623,-9.57564016948645,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.3223333200803,9.09999944360231,-10.9199840851035,8.83008770869769,12.8898967331889,6.95003613422918,8.29007002725659,4.53996064044719,5.53005077793323,5.5099986931984,5.52991480926491,5.90008395738064,5.97998203625438,7.49996956029166,3.35006652793865,3.70689230100685,2.54532184477017,1.41752599216282,1.00198715014967,1.77448678495496,2.21875223166761,3.31480475341897,3.80219748796804,4.0713012947902,2.21406315283737
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1857338011.85488,1897050133.42015,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199642579.96974,2258515610.08862,2545967253.2416,3212119044.17089,3480355188.60063,3922099470.97313,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.10781,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4707,13019693450.8816,15147020535.3869,15278077446.8643
Albania,ALB,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.1877975463867,78.9040985107422,81.301399230957,77.9699020385742,74.5169982910156,73.0643005371094,73.4274978637695,74.3812026977539,73.2714004516602,74.1250991821289,73.2248992919922,62.1244010925293,62.7015991210938
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1404177,1421315,1412543,1387992,1364534,1336162,1331113,1345962,1340278,1330854,1326457,1313708,1312904,1300008,1286360,1271718,1260246,1247349,1234332,1226444,1225905,1255187,1286424,1213692,1235799,1289562,1302836,1316869,1318022,1313923
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.6129999160767,12.6785001754761,16.2029991149902,14.1445999145508,15.6033000946045,15.7728996276855,14.8998003005981,17.8430995941162,19.2763004302979,17.0543994903564,13.694299697876,15.0902996063232,14.8636999130249
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.59999990463257,5.09999990463257,3.59999990463257,4.40000009536743,5.69999980926514,6.69999980926514,6.40000009536743,6.09999990463257,7,7.30000019073486,9.5,9.10000038146973,26.5,22.2999992370605,18.3999996185303,12.8999996185303,12.3000001907349,14.8999996185303,17.7000007629395,18.3999996185303,16.7999992370605,16.3999996185303,15.8000001907349,15,14.3999996185303,14.1000003814697,13.8000001907349,15.9663000106812,13.0599002838135,13.6738996505737,14.0860004425049,13.480899810791,13.3759002685547,15.8659000396729,18.0548000335693,17.193000793457,15.4175996780396,13.6157999038696,12.3037996292114,11.4654998779297
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-13.6054413259303,-19.685041825216,34.3137287827467,5.83941300668012,6.20689820997103,-4.80497094330894,9.45296256284396,10.7962385727722,8.43328028216965,8.86265710850978,-11.331719168195,27.4239694802393,3.81317629707461,7.49491770344713,5.04534161311494,8.38675648360119,5.25858598739295,9.21483570123105,7.47782655012786,0.790606972981237,2.99999608742765,6.40000411580064,5.40000302352195,5.59999652973156,3.6999972551929,0.400001002558483,-0.699997525864433,-1.0000054903297,4.40000216037413,0.800000579981685,-1.20000058504013,1.8000023034584,-2.10000075996494,-0.899996550435205,3.79999479020987,4.09999846962847,1.09999993688672,5.10000361177698,3.20000155076958,3.8,3,5.59999999988446,7.19999999958428,4.29999999977299,5.89999999978465,1.70000000041344,3.40000000072681,2.39999999908618,1.60000000106413,3.59999999969583,2.90000000095189,3.39999999820539,2.80000000025294,3.80000000077901,3.70000000057087,3.19999999983371,1.29999999902873,1.40000000081808,0.799999999999997
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723648551.75208,2434776645.73628,2001468867.73344,2703014867.32834,2909351792.58659,3136258896.9233,3039834558.74906,3370843065.76735,3852115816.97758,4257218772.15369,4863487492.65763,5077222366.97472,6761786386.54713,8715105930.49101,13209713643.3219,15557934268.4965,17728347374.994,20971901273.271,26364491313.4471,33243422157.6311,42345277342.0195,44348672667.8715,45207088715.6483,48801369800.3675,53698278905.9678,57937868670.1937,63696301892.8116,66742267773.1959,59089067187.3943,55631489801.5508,62045099642.7774,45715367087.1001,48003298223.1178,49946455210.966,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640610448.5235,54788732394.3662,54745839538.9497,56760623478.3263,67864849150.4619,85324767230.4939,103198442061.076,117025435464.289,134977284666.139,171000637940.752,137210691642.096,161207754147.286,200019468616.453,209060307470.078,209754763860.68,213808808746.696,165979418301.861,160033844070.572,167389364980.671,173757952824.25,169988236398.126
Algeria,DZA,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6477684,6735697,6981431,7259986,7539786,7796586,8049219,8251657,8460263,8670493,8880362,9106753,9326409,9543850,9763250,9984693,10196156,10400864,10601186,10800785,11075077,11294110,11533225,12002172,11585753,11742189,11904866,12051687,12173459,12303926
Algeria,DZA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8299999237061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.6399993896484,21.2600002288818,20.6000003814697,24.3799991607666,26.2299995422363,27.7399997711182,31.8400001525879,..,25.4300003051758,..,..,29.7700004577637,27.2999992370605,25.8999996185303,23.7199993133545,17.6499996185303,15.2700004577637,12.2700004577637,13.789999961853,11.3299999237061,10.1599998474121,9.96000003814697,9.96000003814697,10.9700002670288,9.81999969482422,10.207200050354,11.2061004638672,10.2024002075195,13.5699996948242,..,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.814111261872455,0.538358008075377,-0.401606425702823,-4.16666666666666,1.96353436185133,-2.61348005502063,-4.23728813559322,0.442477876106182,0.293685756240819,-4.39238653001463,-2.75650842266462,0.944881889763778,1.40405616224648,-2.76923076923077,-5.85443037974683,2.18487394957982,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,..
American Samoa,ASM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.9899997711182,17.2399997711182,19.0799999237061,14.8699998855591,13.789999961853,14.3500003814697,12.4099998474121,12.6099996566772,12.7799997329712,12.960000038147,13.1099996566772,13.289999961853,13.3800001144409,..,..,..,5.1100001335144,..,..,..,..,..,..,..,..,..,5.05000019073486,..,..,..,..,9.97999954223633,..,..,..,..,9.19999980926514,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,4.64946536081887,8.14974348860618,7.78846720294035,5.61878972962955,0.542205658763677,3.30378704950793,2.83857556610046,1.46300017893397,0.0415571951294567,2.20872760693067,-0.132474511474285,1.24646111342557,1.7701183169326,1.78468669356731,2.32143303219976,3.25332177830622,5.54712217053779,5.09432620323258,4.82703424406891,3.78138758962959,2.54600287187591,0.929211956288995,-1.0314840109577,2.38318769098808,2.75749918732981,4.64974014875021,9.06767219910549,3.19479029605816,4.09908083663429,3.52836129711103,8.11935772169949,4.54636221364653,8.69420371612468,8.13567633837351,5.39779598500422,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965346,-0.00806975341139093,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,1.84923825726078
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,78619206.0850963,89409820.3592814,113408231.944085,150820102.798401,186558696.279204,220127246.376812,227281024.620741,254020153.340635,308008897.569444,411578334.159643,446416105.825017,388958731.302938,375895956.383462,327861832.946636,330070689.298282,346737964.774951,482000594.03588,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30039,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3154057987.23833
Andorra,AND,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4.40000121936168,0,4.20000142834165,6.00000216437297,3.49999948953466,2.90000174265121,4.08274863648847,6.12889047620018,0.0416214618442581,-3.45009868360484,0.991359301460875,-5.8382807331314,-23.9834174420578,1.33936343647989,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093549,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.9528617687103,15.0289153175302,11.5476831781633,14.0100182426328,11.1661383303613,0.858712615098312,4.85919754128949,3.47198137570336,8.54214733662195,4.95459047039728,4.82262555122684,0.943575613388759,-2.58009724323077,-0.147207419438828,-2.00357675383141,-0.869393785304467
